analysis_id,canada_market_focus,retailer_vs_advertiser_orientation,vertical_or_category_specificity,partner_or_account_specificity,whitelabel_partner_focus,theme_budget_defense,theme_budget_sizing_guidance,theme_activation_vs_optimization,theme_tactic_layering_benefit,theme_portfolio_allocation,theme_platform_health_vs_ads_value,theme_long_term_effects_retention,theme_measurement_methodology_validation,theme_framework_or_playbook,theme_case_study_or_one_off,rca_orientation,bfa_feasibility_focus,bfa_power_headroom_consideration,suas_feasibility_or_design_complexity,focus_sp,focus_suas,focus_display,focus_coupons_free_gift,focus_video_or_storefront_or_other,surface_search_focus,surface_browse_plp_focus,surface_homepage_topfunnel_focus,surface_cart_checkout_focus,design_experimental_vs_observational,design_lift_test_central,design_pre_post_central,design_did_difference_in_differences,design_aa_or_fairness_test,design_monte_carlo_simulation_use,design_power_or_sample_size_estimation,eligibility_rule_clarity,exposure_definition_precision,exposure_intensity_modeling,carryover_or_lookforward_window_use,rsd_rtd_whitelabel_filtering_correctness,cross_channel_exposure_awareness,data_domain_breadth,historical_horizon_length,geo_coverage_breadth,identity_linkage_focus,data_quality_handling_rigor,reliance_on_curated_gsheets_or_master_tables,entity_hierarchy_or_salesforce_mapping,metric_incremental_revenue,metric_iroas,metric_percent_lift,metric_efficiency_ctr_cpc_roas,metric_user_behavior_clicks_views,metric_benchmarking_depth,metric_confidence_interval_usage,metric_decomposition_presence,confounder_control_thoroughness,variance_estimation_rigor,heterogeneity_or_segment_analysis_depth,placebo_or_negative_control_use,ntb_or_ntc_cohort_focus,cohort_anchor_or_week_indexing,repeat_purchase_or_retention_focus,ltv_or_long_horizon_window,pre_cohort_definition_for_post_measurement,yoy_or_period_over_period_decomposition,basket_affinity_or_z_score_scoring,basket_shifting_or_decile_behavior_split,product_pair_or_combo_combinatorics,intent_signal_layering,multi_touch_attribution_layering,waterfall_or_mutually_exclusive_grouping,reach_measurement_focus,promo_redemption_focus,budget_or_pacing_analysis,targeting_or_keyword_unpacking
a_20260428_a61e56,-5,-4,5,-3,-4,5,-3,-2,-5,-3,-5,-3,-5,5,-3,-4,-5,-5,-5,5,-5,-5,-5,-5,-3,-5,-5,-5,-4,-5,5,1,-5,-5,-5,1,-1,-2,-2,-2,-5,0,-1,-1,-5,1,2,4,-3,-5,1,4,-3,0,-5,-3,-4,-5,-1,-5,-5,-3,-5,-5,-3,1,-5,-4,-5,-5,-5,-2,-5,-5,-3,-5
a_20260428_d7d7c8,-3,-4,4,4,-5,4,-3,-1,-5,-5,-5,3,-5,4,0,1,-5,-5,-5,5,-5,-5,-5,-5,-4,-4,-4,-4,-5,-5,5,-4,-5,-5,-5,0,-1,-4,1,-3,-4,1,3,-3,1,0,2,4,-2,-5,-4,-4,-2,0,-5,-4,-4,-5,-4,-5,-5,1,3,-3,4,-1,-5,-5,-5,-5,-5,-4,-3,-5,-3,-5
a_20260428_bfa23f,-3,-4,4,4,-5,1,-4,3,5,-3,-5,-3,-5,4,-3,-5,-5,-5,-5,3,-5,3,-3,-3,-5,-5,-2,-5,-5,-5,-5,-5,-5,-5,-5,0,1,-4,-3,-3,5,1,0,-3,3,2,2,4,-3,-5,2,-5,-3,1,-5,-3,-4,-5,1,-5,2,-5,-5,-4,-5,-5,-5,-5,-4,-5,5,4,5,-5,-5,-5
a_20260428_65cb08,-4,-4,0,3,-5,4,-4,-1,-5,-5,-5,5,-4,4,-2,-5,-5,-5,-5,5,-5,-5,-4,-5,-3,-4,-4,-5,-5,-5,-2,-5,-5,-5,-5,1,2,-4,5,-3,-5,2,4,-3,3,2,2,4,1,3,-4,1,-4,-2,-5,-1,-5,-5,-3,-5,5,4,5,5,4,-5,-5,-5,-5,-4,4,-5,-2,-5,-5,-5
a_20260428_ffbf54,-3,-4,-2,3,-5,-3,-5,2,0,-4,-5,-3,-5,5,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,-4,-5,-5,-5,-2,-3,-5,0,-5,-5,-1,1,-3,1,-1,-5,-2,-5,-5,1,-5,-3,-2,-5,-3,-4,-5,-3,-5,3,-5,-4,-3,4,0,0,-5,1,-5,-5,-5,-3,-5,-5,-5
a_20260428_dc59b1,-4,-3,-4,3,-5,1,-5,-1,-2,-5,-5,3,-5,5,-3,-5,-5,-5,-3,-5,2,-5,5,-5,-5,-5,-5,-2,-5,-4,-4,-5,-5,-5,-5,0,1,-4,4,-4,-3,-1,1,-3,1,2,-4,-5,-4,-5,-3,-5,1,-4,-5,-4,-5,-5,-1,-5,3,-2,5,-2,0,-5,-4,-5,-4,-5,-5,-5,-3,5,-5,-5
a_20260428_b0fb24,-3,-4,3,3,-5,-4,-5,3,-5,-5,-5,-3,-5,5,-4,-5,-5,-5,-5,-5,-5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-5,-5,-4,-5,-5,0,-2,3,2,-5,-3,-5,-5,-4,-5,-4,1,-5,-4,-4,-5,-1,-5,1,-5,0,-5,-4,-5,3,-3,-5,-5,-5,-5,-2,-5,-5,-5
a_20260428_445957,-4,-4,-1,4,-2,1,-4,2,4,-2,-5,-4,-5,4,-1,-4,-5,-5,-5,3,-5,4,-5,-5,4,-3,-3,-5,-5,-5,-5,-5,-5,-5,-5,0,1,-4,-4,-2,5,1,0,-2,4,1,2,4,1,-5,-4,-4,-4,-4,-5,-3,-4,-5,2,-5,3,-5,-5,-5,-4,-5,-5,-5,-5,-2,4,4,5,-5,-5,-3
a_20260428_e30381,-3,-3,-2,2,-5,4,-3,-1,-4,-4,-5,-4,-3,5,-4,-5,-3,-4,3,3,3,-5,0,-5,-5,-5,-5,-3,5,5,-4,-4,-4,-5,-4,-1,-1,-5,-4,-4,-3,3,0,-2,3,1,1,0,5,5,4,-3,-5,-4,4,-4,-1,2,-4,-4,-4,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-3,0,-4,-5
a_20260428_a9b3a9,-3,-4,4,4,-5,3,-3,-1,3,-3,-5,2,-5,5,-2,-4,-5,-5,-5,2,-5,2,-3,-3,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-1,0,-3,1,-2,-1,1,0,-3,-3,2,2,4,-4,-5,-5,-4,-3,0,-5,0,-4,-5,-5,-4,2,1,-3,-5,-4,-2,-5,-5,-5,-5,-5,-4,-5,-4,-3,-5
