"SEGMENT","WEEKS_SINCE_CONVERSION","COHORT_SIZE","N_REPEATERS_THROUGH_BUCKET","BRAND_REPEAT_RATE_PCT","BRAND_REPEAT_SALES_USD"
"NTC","2","29276","2594",0.088605,40721.59
"NTC","4","29276","4626",0.158013,82307.59
"NTC","6","29276","6107",0.208601,121807.73
"NTC","8","29276","7123",0.243305,156201.79
"NTC","10","29276","7882",0.269231,188329.65
"NTC","12","29276","8488",0.28993,217221.36
"Prev. Competitor Only","2","35400","3891",0.109915,57094.17
"Prev. Competitor Only","4","35400","6953",0.196412,119345.03
"Prev. Competitor Only","6","35400","9070",0.256215,178386.36
"Prev. Competitor Only","8","35400","10609",0.299689,230319.83
"Prev. Competitor Only","10","35400","11790",0.333051,278769.36
"Prev. Competitor Only","12","35400","12668",0.357853,324615.79
